id,timestamp,symbol,patterns,ml_win_probability,actual_result,pnl
4913,1763930443238,XRPUSDT,[],62.56,,
4914,1763930743238,XRPUSDT,[],57.97,,
4915,1763931343238,XRPUSDT,"[""shooting_star""]",60.74,,
4916,1763931643238,XRPUSDT,[],60.5,,
4917,1763931943238,XRPUSDT,[],63.56,,
4918,1763932243238,XRPUSDT,[],74.49,,
4919,1763932843238,XRPUSDT,"[""bearish_engulfing""]",63.01,,
4920,1763933743238,XRPUSDT,[],62.7,,
4921,1763934643238,XRPUSDT,"[""doji"", ""shooting_star""]",60.1,,
4922,1763934943238,XRPUSDT,[],63.69,,
4923,1763935243238,XRPUSDT,[],56.82,,
4924,1763935843238,XRPUSDT,[],66.01,,
4925,1763937043238,XRPUSDT,[],63.27,,
4926,1763938843238,XRPUSDT,"[""shooting_star""]",58.94,,
4927,1763939143238,XRPUSDT,[],61.35,,
4928,1763939443238,XRPUSDT,[],68.61,,
4929,1763940043238,XRPUSDT,[],56.03,,
4930,1763941843238,XRPUSDT,[],57.72,,
4931,1763942443238,XRPUSDT,[],60.5,,
4932,1763943043238,XRPUSDT,[],64.4,,
4933,1763943343238,XRPUSDT,"[""shooting_star""]",58.57,,
4934,1763944243238,XRPUSDT,[],57.48,,
4935,1763944843238,XRPUSDT,[],59.39,,
4936,1763946643238,XRPUSDT,"[""shooting_star""]",61.1,,
4937,1763947243238,XRPUSDT,"[""doji""]",59.73,,
4938,1763947843238,XRPUSDT,[],56.89,,
4939,1763948143238,XRPUSDT,"[""bearish_engulfing""]",64.58,,
4940,1763948443238,XRPUSDT,[],66.05,,
4941,1763948743238,XRPUSDT,"[""doji""]",59.13,,
4942,1763949343238,XRPUSDT,"[""bullish_engulfing""]",56.25,,
4943,1763951743238,XRPUSDT,[],63.01,,
4944,1763952943238,XRPUSDT,"[""shooting_star""]",63.09,,
4945,1763954143238,XRPUSDT,[],58.71,,
4946,1763954443238,XRPUSDT,[],64.81,,
4947,1763954743238,XRPUSDT,[],59.18,,
4948,1763955343238,XRPUSDT,"[""doji""]",58.88,,
4949,1763955943238,XRPUSDT,[],64.11,,
4950,1763956543238,XRPUSDT,[],61.09,,
4951,1763957143238,XRPUSDT,[],67.05,,
4952,1763957443238,XRPUSDT,"[""doji""]",62.01,,
4953,1763957743238,XRPUSDT,[],61.41,,
4954,1763958043238,XRPUSDT,[],66.56,,
4955,1763963143238,XRPUSDT,"[""doji""]",56.74,,
4956,1763963443238,XRPUSDT,"[""shooting_star""]",63.53,,
4957,1763964043238,XRPUSDT,[],57.71,,
4958,1763964343238,XRPUSDT,[],61.45,,
4959,1763964943238,XRPUSDT,"[""doji""]",59.47,,
4960,1763966143238,XRPUSDT,[],65.72,,
4961,1763967343238,XRPUSDT,[],59.05,,
4962,1763969143238,XRPUSDT,"[""doji""]",58.31,,
4963,1763969743238,XRPUSDT,[],60.13,,
4964,1763970943238,XRPUSDT,[],56.03,,
4965,1763971243238,XRPUSDT,[],67.51,,
4966,1763971543238,XRPUSDT,[],67.89,,
4967,1763973343238,XRPUSDT,[],62.73,,
4968,1763974543238,XRPUSDT,[],66.66,,
4969,1763975143238,XRPUSDT,[],64.7,,
4970,1763975443238,XRPUSDT,[],65.56,,
4971,1763975743238,XRPUSDT,[],59.14,,
4972,1763976043238,XRPUSDT,[],74.6,,
4973,1763976343238,XRPUSDT,[],72.21,,
4974,1763976643238,XRPUSDT,[],59.15,,
4975,1763979943238,XRPUSDT,[],62.97,,
4976,1763980543238,XRPUSDT,"[""doji"", ""shooting_star""]",63.52,,
4977,1763980843238,XRPUSDT,"[""doji"", ""shooting_star""]",61.52,,
4978,1763981743238,XRPUSDT,"[""doji""]",57.95,,
4979,1763982343238,XRPUSDT,[],64.1,,
4980,1763984143238,XRPUSDT,[],58.11,,
4981,1763984443238,XRPUSDT,"[""doji""]",65.79,,
4982,1763984743238,XRPUSDT,"[""shooting_star""]",59.11,,
4983,1763985643238,XRPUSDT,[],59.15,,
4984,1763986243238,XRPUSDT,"[""bearish_engulfing""]",61.27,,
4985,1763986843238,XRPUSDT,[],60.57,,
4986,1763987143238,XRPUSDT,[],69.2,,
4987,1763987443238,XRPUSDT,[],61.94,,
4988,1763987743238,XRPUSDT,[],64.21,,
